date,Content marketing,Digital marketing,AI marketing,SEO optimization,Email marketing,isPartial,Social media strategy,Influencer marketing,Content creation,Copywriting,Brand storytelling,Marketing automation,Google ads,Facebook ads,Audience engagement,Video marketing,Lead generation,CRM marketing,Product marketing
2021-10-31,6,46,10,1,7,False,8,15,8,38,0,2,33,14,0,2,6,2,11
2021-11-07,6,49,8,1,7,False,9,16,12,40,1,2,34,15,0,3,7,2,11
2021-11-14,6,49,8,1,8,False,9,16,11,37,1,2,40,14,0,3,7,2,11
2021-11-21,6,48,7,1,8,False,9,15,10,41,0,3,36,14,0,2,6,2,11
2021-11-28,7,49,7,1,8,False,9,15,9,36,1,3,35,14,0,3,6,2,10
2021-12-05,6,47,7,1,8,False,9,15,9,35,1,3,34,14,0,2,6,2,11
2021-12-12,6,50,6,1,6,False,8,13,9,36,1,2,35,13,0,2,6,2,10
2021-12-19,6,43,6,1,6,False,6,11,7,33,1,2,28,11,0,2,6,1,7
2021-12-26,5,46,5,1,6,False,6,11,8,34,0,2,26,10,0,2,6,1,5
2022-01-02,6,50,7,1,7,False,9,16,10,45,1,2,48,19,0,3,6,2,9
2022-01-09,6,53,7,1,7,False,9,18,10,50,1,2,49,19,0,3,6,2,11
2022-01-16,5,49,5,1,6,False,9,16,9,43,1,2,48,17,0,2,6,2,13
2022-01-23,6,54,5,1,7,False,10,17,10,45,1,2,52,19,0,3,6,2,13
2022-01-30,6,57,5,1,8,False,9,17,11,44,1,2,51,19,0,3,7,2,11
2022-02-06,6,53,5,1,7,False,9,16,10,47,1,2,51,21,0,3,6,2,14
2022-02-13,6,55,5,1,8,False,11,17,11,43,1,3,51,20,0,3,7,2,17
2022-02-20,6,54,4,1,8,False,11,18,10,42,1,3,54,20,0,3,7,2,17
2022-02-27,6,54,4,1,7,False,12,18,10,41,1,3,55,19,0,3,6,2,17
2022-03-06,6,52,4,1,7,False,11,18,10,44,1,3,54,20,0,3,7,3,19
2022-03-13,6,55,4,1,7,False,11,18,11,46,1,2,52,19,0,3,6,2,17
2022-03-20,6,56,4,1,8,False,11,20,11,45,1,2,53,19,0,3,7,2,18
2022-03-27,6,55,3,1,9,False,11,20,11,42,1,2,56,20,0,3,7,2,20
2022-04-03,6,55,3,1,8,False,11,21,11,45,1,2,58,21,0,3,6,2,18
2022-04-10,6,51,3,1,7,False,11,19,11,43,1,2,56,20,0,3,7,2,17
2022-04-17,6,53,3,1,8,False,12,19,10,43,1,2,56,20,0,3,6,2,18
2022-04-24,6,56,3,1,8,False,13,21,11,41,1,2,56,20,0,3,7,2,17
2022-05-01,6,52,3,1,8,False,13,19,11,44,1,2,60,18,0,3,6,2,16
2022-05-08,6,54,3,1,8,False,11,19,10,48,1,2,56,21,0,3,7,3,15
2022-05-15,6,55,4,1,8,False,10,19,10,44,1,2,58,20,0,3,6,2,14
2022-05-22,6,55,3,1,7,False,11,19,11,48,1,2,57,20,0,3,6,2,12
2022-05-29,5,53,3,1,7,False,10,18,10,47,1,2,58,20,0,3,6,2,12
2022-06-05,6,52,3,1,8,False,9,17,11,46,1,2,62,20,0,3,6,2,11
2022-06-12,5,56,3,1,7,False,9,18,10,49,1,2,58,19,0,3,6,2,12
2022-06-19,6,56,3,1,7,False,9,18,10,50,1,2,58,21,0,3,7,2,11
2022-06-26,6,52,3,1,7,False,9,16,10,50,1,2,68,20,0,3,7,2,10
2022-07-03,6,53,3,1,7,False,8,16,10,50,1,2,61,20,0,2,7,2,9
2022-07-10,6,55,2,1,8,False,8,16,10,59,1,2,56,19,0,3,7,2,9
2022-07-17,6,55,2,1,8,False,9,16,11,60,1,2,65,19,0,3,7,2,9
2022-07-24,6,53,2,1,7,False,9,17,11,56,1,2,59,20,0,3,7,2,10
2022-07-31,5,57,2,1,8,False,9,17,11,54,1,2,62,21,0,3,7,2,10
2022-08-07,5,50,2,1,8,False,8,15,10,54,1,2,61,20,0,2,7,2,8
2022-08-14,6,54,2,1,8,False,8,18,12,53,1,2,58,21,0,3,7,2,9
2022-08-21,6,58,2,1,8,False,8,17,11,53,1,2,62,22,0,3,7,2,9
2022-08-28,5,52,1,1,7,False,9,17,11,56,1,2,58,19,0,2,7,2,10
2022-09-04,6,52,1,1,7,False,9,17,11,60,1,2,57,19,0,3,6,2,11
2022-09-11,6,54,1,1,8,False,9,18,11,49,1,2,59,21,0,3,7,2,12
2022-09-18,6,56,1,1,9,False,9,18,12,55,1,2,60,21,0,3,7,2,13
2022-09-25,6,55,1,1,8,False,10,17,12,54,1,2,55,21,0,3,7,2,11
2022-10-02,6,52,1,1,7,False,9,16,11,51,1,2,60,21,0,3,6,2,13
2022-10-09,6,52,2,1,8,False,11,18,12,54,1,2,58,20,0,3,6,2,13
2022-10-16,6,52,2,1,7,False,9,18,12,56,1,2,62,20,0,3,6,2,13
2022-10-23,5,52,1,1,7,False,10,17,11,60,1,2,58,21,0,3,6,2,12
2022-10-30,6,52,1,1,8,False,10,17,11,72,1,2,59,20,0,3,6,2,13
2022-11-06,6,53,1,1,8,False,11,17,11,67,1,2,56,21,0,3,6,2,14
2022-11-13,6,52,1,1,8,False,11,20,12,69,1,2,59,21,0,3,6,3,15
2022-11-20,6,49,1,1,7,False,9,16,12,57,1,2,53,20,0,2,6,2,12
2022-11-27,6,52,1,1,8,False,11,18,11,62,1,2,53,18,0,3,6,2,13
2022-12-04,6,53,1,1,7,False,12,19,12,66,1,2,58,20,0,3,7,2,15
2022-12-11,6,52,1,1,8,False,10,18,12,62,1,2,53,19,0,3,6,2,14
2022-12-18,5,47,1,1,8,False,7,16,11,54,1,2,49,18,0,2,6,2,9
2022-12-25,5,48,1,1,6,False,7,15,11,62,1,2,42,18,0,2,5,1,7
2023-01-01,5,57,1,1,7,False,9,18,13,86,1,2,56,21,0,3,7,2,9
2023-01-08,6,60,2,1,9,False,10,21,13,81,1,2,60,22,0,3,7,2,11
2023-01-15,6,60,2,1,8,False,9,21,14,81,1,2,64,21,0,3,7,2,11
2023-01-22,6,59,2,1,8,False,10,21,14,76,1,2,64,21,0,3,7,2,12
2023-01-29,6,59,2,1,8,False,11,21,14,74,1,2,63,22,0,3,7,2,12
2023-02-05,6,57,2,1,8,False,11,19,13,70,1,2,65,23,0,3,7,2,13
2023-02-12,5,55,2,1,8,False,9,19,13,68,1,2,65,22,0,3,7,2,13
2023-02-19,6,55,2,1,8,False,10,20,14,61,1,2,61,22,0,3,7,2,12
2023-02-26,6,58,2,1,8,False,11,18,13,58,1,2,63,23,0,3,7,2,14
2023-03-05,6,57,2,1,9,False,11,20,13,56,1,2,59,21,0,3,6,2,12
2023-03-12,6,54,2,1,8,False,10,19,13,55,1,2,61,21,0,3,6,2,12
2023-03-19,5,58,2,1,9,False,11,19,13,59,1,2,62,22,0,3,7,2,14
2023-03-26,6,54,2,1,8,False,9,20,13,64,1,2,62,22,0,3,6,2,13
2023-04-02,6,52,2,1,8,False,9,18,12,56,1,2,59,22,0,3,7,2,11
2023-04-09,5,53,2,1,7,False,9,19,13,53,1,2,58,23,0,3,6,2,13
2023-04-16,5,50,2,1,7,False,9,19,12,50,1,2,58,21,0,3,6,2,12
2023-04-23,6,57,3,1,8,False,10,20,13,53,1,2,58,23,0,3,6,3,11
2023-04-30,5,54,3,1,7,False,10,18,13,50,1,2,56,22,0,3,6,3,13
2023-05-07,5,53,3,1,7,False,9,19,12,48,1,2,59,28,0,3,6,3,11
2023-05-14,5,60,3,1,8,False,9,19,13,46,1,2,61,22,0,3,7,3,11
2023-05-21,6,62,3,1,8,False,9,23,13,51,1,2,58,23,0,3,7,3,10
2023-05-28,7,61,3,1,8,False,9,20,13,50,1,2,59,23,0,3,7,3,9
2023-06-04,6,65,3,1,9,False,9,20,14,51,1,2,60,24,0,3,7,3,10
2023-06-11,6,61,3,1,9,False,8,19,14,54,1,2,61,24,0,3,7,3,9
2023-06-18,6,61,3,1,9,False,8,18,14,52,1,2,58,23,0,3,7,3,9
2023-06-25,6,63,3,1,9,False,8,19,14,48,1,2,59,22,0,3,7,3,8
2023-07-02,6,63,3,1,8,False,8,18,15,53,1,2,58,22,0,3,7,2,8
2023-07-09,6,65,3,1,10,False,8,20,16,52,1,2,62,24,0,3,7,2,9
2023-07-16,6,67,3,1,9,False,7,18,14,51,1,2,53,24,0,3,7,2,9
2023-07-23,7,66,3,1,10,False,8,20,17,53,1,2,55,23,0,3,8,2,8
2023-07-30,6,61,3,1,9,False,7,19,15,51,1,2,56,23,0,3,7,2,8
2023-08-06,6,58,3,1,9,False,7,18,15,47,1,2,56,23,0,3,7,2,8
2023-08-13,6,57,3,1,9,False,7,19,17,47,1,2,51,22,0,3,7,3,9
2023-08-20,6,59,3,1,9,False,8,19,15,49,1,2,56,22,0,3,7,3,10
2023-08-27,6,59,3,1,8,False,8,19,15,48,1,2,51,22,0,3,7,2,10
2023-09-03,6,62,3,1,8,False,8,19,16,48,1,2,51,22,0,3,7,2,11
2023-09-10,6,60,3,1,9,False,8,21,15,49,1,2,52,22,0,3,7,2,12
2023-09-17,6,59,3,1,9,False,8,19,15,49,1,2,54,22,0,3,7,2,12
2023-09-24,6,56,3,1,9,False,9,20,16,48,1,2,52,21,0,3,7,2,12
2023-10-01,6,55,3,1,8,False,9,19,16,45,1,2,52,21,0,3,7,2,12
2023-10-08,6,57,3,1,8,False,9,20,15,42,1,2,51,20,0,3,7,2,12
2023-10-15,6,59,3,1,9,False,9,20,16,47,1,2,54,22,0,3,7,2,13
2023-10-22,6,60,3,1,8,False,9,20,16,48,1,2,51,21,0,3,8,2,13
2023-10-29,6,58,3,1,9,False,9,19,15,47,1,2,52,20,0,3,7,2,12
2023-11-05,6,58,3,1,8,False,10,21,16,50,1,2,51,22,0,3,7,2,13
2023-11-12,7,54,3,1,8,False,9,20,15,46,1,2,49,20,0,3,7,2,12
2023-11-19,6,55,3,1,8,False,8,20,16,46,1,2,51,19,0,3,6,2,10
2023-11-26,6,58,3,1,8,False,10,20,17,44,1,2,50,20,0,3,7,2,11
2023-12-03,6,67,3,1,9,False,10,22,16,48,1,2,52,20,0,3,7,2,13
2023-12-10,6,62,3,1,8,False,9,21,16,42,1,2,53,20,0,3,8,2,12
2023-12-17,6,64,3,1,8,False,7,18,15,43,1,2,45,19,0,3,7,2,9
2023-12-24,5,62,2,1,7,False,6,15,15,43,1,2,37,17,0,2,6,1,6
2023-12-31,6,68,3,1,8,False,8,20,18,53,1,2,45,20,0,2,7,2,8
2024-01-07,6,67,3,1,9,False,9,22,18,50,1,2,49,23,0,3,7,2,10
2024-01-14,7,63,4,1,9,False,9,22,18,56,1,2,52,22,0,3,8,2,10
2024-01-21,7,71,4,1,10,False,9,23,19,49,1,3,53,22,0,3,8,2,11
2024-01-28,7,72,4,1,10,False,10,22,19,48,1,2,59,23,1,3,9,2,13
2024-02-04,7,72,4,1,9,False,11,23,21,51,1,2,60,23,1,3,9,2,13
2024-02-11,7,68,4,1,9,False,11,22,20,49,1,2,59,23,1,3,10,2,12
2024-02-18,7,73,4,1,9,False,11,24,20,52,1,2,59,23,1,3,9,2,12
2024-02-25,7,70,4,1,10,False,12,23,21,48,1,2,59,24,1,3,9,2,14
2024-03-03,7,68,4,1,9,False,11,24,20,47,2,2,59,23,1,3,8,2,12
2024-03-10,6,66,4,1,9,False,10,23,18,44,1,2,58,22,1,3,8,2,12
2024-03-17,7,69,4,1,9,False,10,22,19,49,1,2,58,23,1,3,8,2,12
2024-03-24,7,68,4,1,9,False,10,21,19,46,2,2,54,22,1,3,8,2,11
2024-03-31,6,60,4,1,9,False,10,22,18,44,1,2,56,22,1,3,8,2,14
2024-04-07,6,59,4,1,9,False,10,21,20,42,1,2,55,21,1,3,7,2,12
2024-04-14,7,60,4,1,9,False,10,22,22,45,1,2,56,22,1,3,8,2,12
2024-04-21,7,62,4,1,10,False,10,24,21,47,1,2,54,21,1,3,8,2,13
2024-04-28,6,61,4,1,9,False,10,22,20,47,1,2,54,21,1,3,8,2,12
2024-05-05,6,61,4,1,9,False,9,22,20,46,1,2,51,21,1,3,7,2,10
2024-05-12,6,59,4,1,9,False,9,19,19,43,1,2,56,22,1,3,7,2,11
2024-05-19,6,58,4,1,9,False,9,19,17,44,1,2,58,21,1,3,7,2,9
2024-05-26,6,59,4,1,8,False,7,20,17,46,1,2,54,21,1,2,7,2,9
2024-06-02,6,58,4,1,9,False,8,20,19,45,1,2,57,20,1,3,8,2,10
2024-06-09,6,57,4,1,9,False,8,20,18,46,1,2,54,21,1,3,7,2,9
2024-06-16,6,57,4,1,8,False,7,19,19,44,1,2,52,20,1,3,7,2,8
2024-06-23,6,59,4,1,10,False,8,19,21,43,1,2,54,21,1,2,8,2,9
2024-06-30,6,59,3,1,9,False,8,17,17,46,1,2,54,21,1,3,7,2,8
2024-07-07,8,61,4,1,9,False,7,19,19,44,1,2,57,21,1,3,8,2,8
2024-07-14,7,59,4,1,9,False,8,20,20,46,1,2,54,21,1,3,9,2,9
2024-07-21,7,61,4,1,9,False,9,20,21,46,1,2,53,21,1,3,8,2,8
2024-07-28,6,58,4,1,9,False,8,20,19,42,1,2,53,21,1,2,7,2,8
2024-08-04,8,56,3,1,9,False,7,19,19,43,1,2,52,21,1,2,7,2,9
2024-08-11,7,57,4,1,8,False,7,18,20,46,1,2,53,22,1,3,7,2,8
2024-08-18,6,61,4,1,9,False,8,20,20,46,1,2,53,21,1,3,9,2,9
2024-08-25,6,59,4,1,8,False,8,18,21,41,1,2,52,22,1,3,8,2,10
2024-09-01,6,59,4,1,8,False,9,19,20,42,1,2,53,22,1,2,8,2,11
2024-09-08,6,57,4,1,8,False,8,19,20,42,1,2,53,22,1,3,9,2,11
2024-09-15,6,57,4,1,8,False,9,19,19,39,1,2,55,21,0,3,8,2,11
2024-09-22,6,56,4,1,9,False,9,20,20,39,2,2,50,22,0,3,8,2,12
2024-09-29,6,55,4,1,9,False,9,20,19,39,1,2,55,22,0,3,8,2,12
2024-10-06,6,53,4,1,8,False,8,21,20,40,1,2,53,20,0,3,7,2,11
2024-10-13,6,56,4,1,8,False,9,22,20,38,1,2,54,22,0,3,8,2,11
2024-10-20,6,60,4,1,9,False,9,20,19,41,1,2,56,22,0,3,8,2,12
2024-10-27,6,51,4,1,8,False,10,19,18,36,1,2,49,19,0,2,8,2,11
2024-11-03,6,51,4,1,9,False,9,20,20,37,1,2,54,21,0,3,8,2,12
2024-11-10,6,58,4,1,8,False,11,24,23,38,1,2,53,21,0,3,8,2,12
2024-11-17,7,58,5,1,9,False,11,23,21,38,2,2,53,21,0,3,8,2,12
2024-11-24,6,56,4,1,8,False,9,21,22,34,1,2,52,19,0,3,8,2,9
2024-12-01,6,54,4,1,8,False,10,23,21,32,1,3,53,19,1,3,7,2,11
2024-12-08,6,55,4,1,8,False,10,23,22,31,1,3,53,20,0,3,7,2,11
2024-12-15,6,52,4,1,8,False,8,18,18,32,1,2,49,20,0,2,7,2,9
2024-12-22,4,49,4,1,7,False,5,13,18,30,1,2,38,17,1,2,6,1,5
2024-12-29,5,50,4,1,7,False,6,16,22,32,1,2,39,18,0,2,6,2,6
2025-01-05,6,58,5,1,9,False,8,19,23,39,1,2,53,21,0,3,7,2,9
2025-01-12,6,59,5,1,9,False,8,21,24,40,1,2,56,21,0,2,8,2,10
2025-01-19,6,59,5,1,10,False,9,22,24,39,1,3,55,21,0,3,9,2,10
2025-01-26,6,58,6,1,9,False,9,20,25,37,1,2,56,21,0,3,9,2,11
2025-02-02,7,62,5,1,10,False,10,25,25,41,1,2,62,23,1,3,9,2,11
2025-02-09,7,62,5,1,10,False,11,25,24,39,2,3,58,23,1,3,8,2,11
2025-02-16,7,64,7,1,11,False,11,25,26,40,2,3,59,22,1,3,9,3,12
2025-02-23,7,63,7,1,10,False,11,25,26,37,2,3,56,22,1,3,10,3,12
2025-03-02,7,59,6,1,10,False,11,24,25,37,2,3,58,21,1,3,9,2,12
2025-03-09,7,62,6,1,10,False,11,24,24,36,2,2,58,21,1,3,9,3,11
2025-03-16,7,65,6,1,10,False,11,25,24,39,2,3,57,21,1,3,9,3,11
2025-03-23,8,63,6,2,10,False,13,28,27,38,2,3,55,19,1,3,10,3,11
2025-03-30,7,64,6,1,10,False,10,24,27,38,2,3,56,19,1,3,9,2,11
2025-04-06,7,65,6,1,10,False,11,25,24,38,2,3,57,20,1,3,11,2,11
2025-04-13,7,68,6,1,10,False,10,23,26,37,2,3,53,18,1,3,9,2,10
2025-04-20,8,71,6,2,11,False,11,28,27,41,2,3,53,20,1,4,10,3,10
2025-04-27,9,71,7,3,13,False,12,28,29,41,2,4,57,19,1,4,11,3,10
2025-05-04,10,85,7,3,13,False,13,30,28,40,2,5,59,20,0,5,11,4,11
2025-05-11,9,81,7,2,12,False,11,28,29,39,2,4,57,19,0,4,11,4,10
2025-05-18,7,69,7,2,10,False,9,26,28,40,2,3,56,20,1,3,10,3,8
2025-05-25,7,66,7,2,10,False,9,22,28,39,2,4,52,18,0,4,10,3,8
2025-06-01,10,82,13,2,14,False,11,30,36,42,3,5,57,19,1,5,30,4,11
2025-06-08,13,85,21,3,16,False,18,39,42,47,4,6,59,21,1,7,12,5,12
2025-06-15,12,81,18,3,14,False,15,31,46,44,4,6,57,21,1,8,13,4,11
2025-06-22,13,75,17,2,15,False,15,34,44,49,3,7,59,20,1,6,13,4,11
2025-06-29,10,73,15,2,12,False,12,28,39,43,3,5,62,20,1,6,14,3,9
2025-07-06,12,73,13,3,13,False,14,29,40,52,3,6,55,20,0,6,10,3,10
2025-07-13,12,76,16,3,14,False,14,31,43,43,3,6,58,21,1,8,12,4,11
2025-07-20,17,81,17,3,15,False,15,38,43,49,3,6,56,21,1,10,17,4,14
2025-07-27,14,80,22,3,16,False,17,45,48,45,5,7,59,24,1,15,13,4,20
2025-08-03,20,96,40,4,25,False,30,81,58,55,9,9,80,31,1,29,19,6,38
2025-08-10,22,98,57,4,34,False,38,100,67,53,11,11,96,35,1,31,23,7,54
2025-08-17,20,95,50,3,30,False,32,91,58,53,9,10,92,34,1,29,19,6,65
2025-08-24,17,92,40,3,27,False,28,67,56,49,8,9,83,28,1,23,18,6,90
2025-08-31,18,94,40,3,28,False,30,71,60,46,8,9,87,30,1,27,19,6,100
2025-09-07,17,100,38,3,27,False,31,76,54,45,7,8,87,32,1,27,18,6,96
2025-09-14,18,89,40,3,29,False,28,71,56,46,7,10,80,31,1,24,19,6,59
2025-09-21,18,82,51,4,30,False,30,90,55,44,7,12,90,33,1,25,20,7,66
2025-09-28,18,80,50,4,28,False,31,89,57,43,7,9,99,31,1,25,16,7,74
2025-10-05,16,76,43,3,25,False,26,92,54,39,7,9,94,31,1,21,16,6,71
2025-10-12,15,74,41,3,25,False,25,83,47,41,8,8,100,32,1,21,15,5,66
2025-10-19,14,74,39,3,25,False,27,86,47,41,8,8,90,29,1,21,14,6,74
2025-10-26,14,72,36,3,21,False,24,74,51,38,8,7,85,27,1,19,14,5,71
2025-11-02,14,73,39,3,23,False,27,82,51,40,9,8,85,29,1,20,14,5,68
2025-11-09,11,60,22,2,16,False,17,55,43,35,7,6,66,23,1,10,12,4,31
2025-11-16,8,53,9,2,10,False,11,29,31,28,3,3,47,17,1,5,9,3,12
2025-11-23,7,51,8,2,9,True,10,25,30,28,3,3,46,17,0,4,8,2,10
